ADVID,DATE,HOUR,PRODID,IMPRESSIONS,POSITION,BID,CLICKS,COST,BOOKINGS,REVENUE,BUDGET,PRICE,DAY,WEEK,CR,CTR,WEEKDAY
3,2023-12-12,4,3,226,4.0,2.97,5,14.79,0,0,6998801.87,70,0,0,0.0,0.022123893805309734,Tuesday
3,2023-12-12,5,1,179,5.0,8.59,13,74.79,0,0,6998627.92,100,0,0,0.0,0.07262569832402235,Tuesday
3,2023-12-12,5,2,453,4.0,4.38,18,78.49,0,0,6998627.92,80,0,0,0.0,0.039735099337748346,Tuesday
3,2023-12-12,5,3,609,4.0,2.96,7,20.68,0,0,6998627.92,70,0,0,0.0,0.011494252873563218,Tuesday
3,2023-12-12,6,1,328,10.0,8.68,7,60.63,1,100,6998523.22,100,0,0,0.14285714285714285,0.021341463414634148,Tuesday
3,2023-12-12,6,2,667,7.0,4.41,10,44.08,0,0,6998523.22,80,0,0,0.0,0.014992503748125937,Tuesday
3,2023-12-12,6,3,1469,12.0,2.97,0,0.0,0,0,6998523.22,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,7,1,363,10.0,8.69,7,60.82,0,0,6998453.68,100,0,0,0.0,0.01928374655647383,Tuesday
3,2023-12-12,7,2,827,10.0,4.37,2,8.72,0,0,6998453.68,80,0,0,0.0,0.0024183796856106408,Tuesday
3,2023-12-12,7,3,1632,9.0,2.98,0,0.0,0,0,6998453.68,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,8,1,338,8.0,8.74,6,52.39,1,100,6998371.98,100,0,0,0.16666666666666666,0.01775147928994083,Tuesday
3,2023-12-12,8,2,943,9.0,4.4,6,26.34,1,80,6998371.98,80,0,0,0.16666666666666666,0.006362672322375398,Tuesday
3,2023-12-12,8,3,1817,10.0,2.97,1,2.97,0,0,6998371.98,70,0,0,0.0,0.000550357732526142,Tuesday
3,2023-12-12,9,1,357,12.0,8.58,3,0.15,2,200,6998327.55,100,0,0,0.6666666666666666,0.008403361344537815,Tuesday
3,2023-12-12,9,2,900,8.0,4.43,10,44.28,0,0,6998327.55,80,0,0,0.0,0.011111111111111112,Tuesday
3,2023-12-12,9,3,1203,10.0,2.98,0,0.0,0,0,6998327.55,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,10,1,314,8.0,8.73,9,77.95,0,0,6998209.76,100,0,0,0.0,0.028662420382165606,Tuesday
3,2023-12-12,10,2,871,8.0,4.43,9,39.83,0,0,6998209.76,80,0,0,0.0,0.010332950631458095,Tuesday
3,2023-12-12,10,3,1561,11.0,2.98,0,0.0,0,0,6998209.76,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,11,1,326,12.0,8.61,6,0.3,0,0,6998143.26,100,0,0,0.0,0.018404907975460124,Tuesday
3,2023-12-12,11,2,750,8.0,4.43,15,66.2,0,0,6998143.26,80,0,0,0.0,0.02,Tuesday
3,2023-12-12,11,3,1233,11.0,2.95,0,0.0,0,0,6998143.26,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,12,1,366,10.0,8.68,7,60.72,0,0,6998064.86,100,0,0,0.0,0.01912568306010929,Tuesday
3,2023-12-12,12,2,1008,9.0,4.42,4,17.69,0,0,6998064.86,80,0,0,0.0,0.003968253968253968,Tuesday
3,2023-12-12,12,3,1507,10.0,2.97,0,0.0,0,0,6998064.86,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,13,1,390,10.0,8.63,6,51.46,0,0,6997995.76,100,0,0,0.0,0.015384615384615385,Tuesday
3,2023-12-12,13,2,969,9.0,4.41,4,17.64,1,80,6997995.76,80,0,0,0.25,0.0041279669762641896,Tuesday
3,2023-12-12,13,3,1218,12.0,2.96,0,0.0,0,0,6997995.76,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,14,1,422,9.0,8.73,9,78.29,0,0,6997899.99,100,0,0,0.0,0.02132701421800948,Tuesday
3,2023-12-12,14,2,1027,9.0,4.39,4,17.48,1,80,6997899.99,80,0,0,0.25,0.0038948393378773127,Tuesday
3,2023-12-12,14,3,1563,9.0,2.97,0,0.0,0,0,6997899.99,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,15,1,387,9.0,8.67,12,103.78,1,100,6997791.83,100,0,0,0.08333333333333333,0.031007751937984496,Tuesday
3,2023-12-12,15,2,1065,11.0,4.39,1,4.38,0,0,6997791.83,80,0,0,0.0,0.0009389671361502347,Tuesday
3,2023-12-12,15,3,1242,10.0,2.95,0,0.0,0,0,6997791.83,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,16,1,405,10.0,8.62,7,60.16,1,100,6997705.44,100,0,0,0.14285714285714285,0.01728395061728395,Tuesday
3,2023-12-12,16,2,966,10.0,4.39,6,26.23,0,0,6997705.44,80,0,0,0.0,0.006211180124223602,Tuesday
3,2023-12-12,16,3,1929,11.0,2.98,0,0.0,0,0,6997705.44,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,17,1,400,9.0,8.69,15,130.38,0,0,6997552.9,100,0,0,0.0,0.0375,Tuesday
3,2023-12-12,17,2,1061,9.0,4.43,5,22.16,2,160,6997552.9,80,0,0,0.4,0.00471253534401508,Tuesday
3,2023-12-12,17,3,1323,9.0,2.99,0,0.0,0,0,6997552.9,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,18,1,454,9.0,8.71,13,113.17,4,400,6997439.63,100,0,0,0.3076923076923077,0.028634361233480177,Tuesday
3,2023-12-12,18,2,1029,12.0,4.35,2,0.1,0,0,6997439.63,80,0,0,0.0,0.001943634596695821,Tuesday
3,2023-12-12,18,3,1426,9.0,2.99,0,0.0,0,0,6997439.63,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,19,1,460,12.0,8.63,2,0.1,1,100,6997408.88,100,0,0,0.5,0.004347826086956522,Tuesday
3,2023-12-12,19,2,1128,10.0,4.4,7,30.65,0,0,6997408.88,80,0,0,0.0,0.0062056737588652485,Tuesday
3,2023-12-12,19,3,1824,12.0,2.96,0,0.0,0,0,6997408.88,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,20,1,391,12.0,8.59,4,0.2,0,0,6997391.22,100,0,0,0.0,0.010230179028132993,Tuesday
3,2023-12-12,20,2,907,10.0,4.37,4,17.47,2,160,6997391.22,80,0,0,0.5,0.004410143329658214,Tuesday
3,2023-12-12,20,3,1401,11.0,2.98,0,0.0,0,0,6997391.22,70,0,0,0.0,0.0,Tuesday
3,2023-12-12,21,1,329,10.0,8.68,5,43.3,1,100,6997320.12,100,0,0,0.2,0.015197568389057751,Tuesday
3,2023-12-12,21,2,876,9.0,4.39,5,21.88,0,0,6997320.12,80,0,0,0.0,0.005707762557077625,Tuesday
3,2023-12-12,21,3,1520,10.0,2.96,2,5.91,0,0,6997320.12,70,0,0,0.0,0.0013157894736842105,Tuesday
3,2023-12-12,22,1,259,8.0,8.74,7,61.18,2,200,6997251.75,100,0,0,0.2857142857142857,0.02702702702702703,Tuesday
3,2023-12-12,22,2,680,10.0,4.39,1,4.38,0,0,6997251.75,80,0,0,0.0,0.0014705882352941176,Tuesday
3,2023-12-12,22,3,1175,9.0,2.97,1,2.81,0,0,6997251.75,70,0,0,0.0,0.000851063829787234,Tuesday
3,2023-12-12,23,1,134,4.0,8.64,11,94.36,0,0,6996809.7,100,0,0,0.0,0.08208955223880597,Tuesday
3,2023-12-12,23,2,428,2.0,4.38,45,196.87,1,80,6996809.7,80,0,0,0.022222222222222223,0.10514018691588785,Tuesday
3,2023-12-12,23,3,616,2.0,3.0,51,150.81,1,70,6996809.7,70,0,0,0.0196078431372549,0.08279220779220779,Tuesday
3,2023-12-13,0,1,118,5.0,8.61,10,33.08,0,0,6996553.4,100,1,0,0.0,0.0847457627118644,Wednesday
3,2023-12-13,0,2,257,2.0,4.4,30,131.2,1,80,6996553.4,80,1,0,0.03333333333333333,0.11673151750972763,Wednesday
3,2023-12-13,0,3,462,2.0,3.0,31,92.03,0,0,6996553.4,70,1,0,0.0,0.0670995670995671,Wednesday
3,2023-12-13,1,1,57,1.0,8.73,12,104.2,0,0,6996297.52,100,1,0,0.0,0.21052631578947367,Wednesday
3,2023-12-13,1,2,136,5.0,4.36,2,2.09,0,0,6996297.52,80,1,0,0.0,0.014705882352941176,Wednesday
3,2023-12-13,1,3,338,1.0,3.0,50,149.59,0,0,6996297.52,70,1,0,0.0,0.14792899408284024,Wednesday
3,2023-12-13,2,1,59,1.0,8.69,12,103.83,0,0,6996177.61,100,1,0,0.0,0.2033898305084746,Wednesday
3,2023-12-13,2,2,146,5.0,4.36,5,4.27,0,0,6996177.61,80,1,0,0.0,0.03424657534246575,Wednesday
3,2023-12-13,2,3,177,4.0,2.95,4,11.8,1,70,6996177.61,70,1,0,0.25,0.022598870056497175,Wednesday
3,2023-12-13,3,1,54,4.0,8.63,6,51.62,0,0,6996068.5,100,1,0,0.0,0.1111111111111111,Wednesday
3,2023-12-13,3,2,93,2.0,4.42,11,48.64,0,0,6996068.5,80,1,0,0.0,0.11827956989247312,Wednesday
3,2023-12-13,3,3,127,3.0,2.96,3,8.86,0,0,6996068.5,70,1,0,0.0,0.023622047244094488,Wednesday
3,2023-12-13,4,1,59,4.0,8.65,2,17.22,0,0,6996046.93,100,1,0,0.0,0.03389830508474576,Wednesday
3,2023-12-13,4,2,153,5.0,4.36,3,3.03,0,0,6996046.93,80,1,0,0.0,0.0196078431372549,Wednesday
3,2023-12-13,4,3,270,5.0,2.96,2,1.32,0,0,6996046.93,70,1,0,0.0,0.007407407407407408,Wednesday
3,2023-12-13,5,1,162,1.0,8.71,28,242.86,1,100,6995121.24,100,1,0,0.03571428571428571,0.1728395061728395,Wednesday
3,2023-12-13,5,2,424,1.0,4.42,58,254.84,0,0,6995121.24,80,1,0,0.0,0.13679245283018868,Wednesday
3,2023-12-13,5,3,803,1.0,3.0,143,427.99,9,630,6995121.24,70,1,0,0.06293706293706294,0.1780821917808219,Wednesday
3,2023-12-13,6,1,279,8.0,8.68,10,86.78,0,0,6995022.78,100,1,0,0.0,0.035842293906810034,Wednesday
3,2023-12-13,6,2,708,10.0,4.37,2,8.72,0,0,6995022.78,80,1,0,0.0,0.002824858757062147,Wednesday
3,2023-12-13,6,3,1279,10.0,2.96,1,2.95,0,0,6995022.78,70,1,0,0.0,0.0007818608287724785,Wednesday
3,2023-12-13,7,1,382,8.0,8.7,10,86.89,0,0,6994910.86,100,1,0,0.0,0.02617801047120419,Wednesday
3,2023-12-13,7,2,885,10.0,4.41,3,13.19,0,0,6994910.86,80,1,0,0.0,0.003389830508474576,Wednesday
3,2023-12-13,7,3,1300,9.0,2.96,4,11.84,0,0,6994910.86,70,1,0,0.0,0.003076923076923077,Wednesday
3,2023-12-13,8,1,353,11.0,8.59,4,34.35,0,0,6994867.76,100,1,0,0.0,0.0113314447592068,Wednesday
3,2023-12-13,8,2,884,9.0,4.38,2,8.75,1,80,6994867.76,80,1,0,0.5,0.0022624434389140274,Wednesday
3,2023-12-13,8,3,1283,11.0,2.96,0,0.0,0,0,6994867.76,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,9,1,318,7.0,8.74,11,96.04,0,0,6994763.0,100,1,0,0.0,0.03459119496855346,Wednesday
3,2023-12-13,9,2,815,11.0,4.37,2,8.72,0,0,6994763.0,80,1,0,0.0,0.00245398773006135,Wednesday
3,2023-12-13,9,3,1165,12.0,2.97,0,0.0,0,0,6994763.0,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,10,1,317,7.0,8.68,12,104.02,0,0,6994629.7,100,1,0,0.0,0.03785488958990536,Wednesday
3,2023-12-13,10,2,647,8.0,4.4,6,26.32,0,0,6994629.7,80,1,0,0.0,0.00927357032457496,Wednesday
3,2023-12-13,10,3,1126,9.0,2.97,1,2.95,0,0,6994629.7,70,1,0,0.0,0.0008880994671403197,Wednesday
3,2023-12-13,11,1,329,12.0,8.61,0,0.0,0,0,6994583.11,100,1,0,0.0,0.0,Wednesday
3,2023-12-13,11,2,875,10.0,4.37,10,43.61,1,80,6994583.11,80,1,0,0.1,0.011428571428571429,Wednesday
3,2023-12-13,11,3,1144,9.0,2.98,1,2.98,0,0,6994583.11,70,1,0,0.0,0.0008741258741258741,Wednesday
3,2023-12-13,12,1,393,9.0,8.7,12,104.15,0,0,6994432.04,100,1,0,0.0,0.030534351145038167,Wednesday
3,2023-12-13,12,2,896,9.0,4.41,10,43.94,1,80,6994432.04,80,1,0,0.1,0.011160714285714286,Wednesday
3,2023-12-13,12,3,1507,9.0,2.99,1,2.99,0,0,6994432.04,70,1,0,0.0,0.0006635700066357001,Wednesday
3,2023-12-13,13,1,353,8.0,8.69,9,78.23,1,100,6994350.85,100,1,0,0.1111111111111111,0.025495750708215296,Wednesday
3,2023-12-13,13,2,870,12.0,4.36,0,0.0,0,0,6994350.85,80,1,0,0.0,0.0,Wednesday
3,2023-12-13,13,3,1551,10.0,2.97,1,2.96,0,0,6994350.85,70,1,0,0.0,0.0006447453255963894,Wednesday
3,2023-12-13,14,1,426,8.0,8.67,5,43.25,2,200,6994276.9,100,1,0,0.4,0.011737089201877934,Wednesday
3,2023-12-13,14,2,1096,9.0,4.4,7,30.69,0,0,6994276.9,80,1,0,0.0,0.006386861313868613,Wednesday
3,2023-12-13,14,3,1456,11.0,2.97,0,0.0,0,0,6994276.9,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,15,1,449,11.0,8.57,4,34.29,0,0,6994239.58,100,1,0,0.0,0.008908685968819599,Wednesday
3,2023-12-13,15,2,1049,12.0,4.36,1,0.05,0,0,6994239.58,80,1,0,0.0,0.0009532888465204957,Wednesday
3,2023-12-13,15,3,1435,10.0,2.98,1,2.98,0,0,6994239.58,70,1,0,0.0,0.0006968641114982578,Wednesday
3,2023-12-13,16,1,406,8.0,8.64,13,111.87,1,100,6994118.95,100,1,0,0.07692307692307693,0.03201970443349754,Wednesday
3,2023-12-13,16,2,1058,10.0,4.38,2,8.77,0,0,6994118.95,80,1,0,0.0,0.001890359168241966,Wednesday
3,2023-12-13,16,3,1674,12.0,2.95,0,0.0,0,0,6994118.95,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,17,1,406,9.0,8.7,5,43.15,0,0,6994031.68,100,1,0,0.0,0.012315270935960592,Wednesday
3,2023-12-13,17,2,1144,8.0,4.42,10,44.12,0,0,6994031.68,80,1,0,0.0,0.008741258741258742,Wednesday
3,2023-12-13,17,3,1966,12.0,2.95,0,0.0,0,0,6994031.68,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,18,1,488,9.0,8.7,17,146.97,3,300,6993827.19,100,1,0,0.17647058823529413,0.03483606557377049,Wednesday
3,2023-12-13,18,2,1141,8.0,4.43,13,57.52,0,0,6993827.19,80,1,0,0.0,0.011393514460999123,Wednesday
3,2023-12-13,18,3,1621,9.0,2.97,0,0.0,0,0,6993827.19,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,19,1,397,9.0,8.7,9,78.31,2,200,6993744.51,100,1,0,0.2222222222222222,0.022670025188916875,Wednesday
3,2023-12-13,19,2,1097,10.0,4.36,1,4.36,0,0,6993744.51,80,1,0,0.0,0.0009115770282588879,Wednesday
3,2023-12-13,19,3,1754,10.0,2.98,0,0.0,0,0,6993744.51,70,1,0,0.0,0.0,Wednesday
3,2023-12-13,20,1,428,8.0,8.7,12,103.33,0,0,6993607.14,100,1,0,0.0,0.028037383177570093,Wednesday
3,2023-12-13,20,2,1135,8.0,4.44,7,31.05,1,80,6993607.14,80,1,0,0.14285714285714285,0.006167400881057269,Wednesday
3,2023-12-13,20,3,1329,9.0,2.99,1,2.99,0,0,6993607.14,70,1,0,0.0,0.0007524454477050414,Wednesday
3,2023-12-13,21,1,383,8.0,8.7,11,95.65,1,100,6993471.85,100,1,0,0.09090909090909091,0.028720626631853787,Wednesday
3,2023-12-13,21,2,862,9.0,4.39,7,30.66,2,160,6993471.85,80,1,0,0.2857142857142857,0.008120649651972157,Wednesday
3,2023-12-13,21,3,1654,8.0,2.99,3,8.97,0,0,6993471.85,70,1,0,0.0,0.0018137847642079807,Wednesday
3,2023-12-13,22,1,305,9.0,8.66,8,69.07,1,100,6993396.83,100,1,0,0.125,0.02622950819672131,Wednesday
3,2023-12-13,22,2,664,7.0,4.41,0,0.0,0,0,6993396.83,80,1,0,0.0,0.0,Wednesday
3,2023-12-13,22,3,1092,7.0,2.99,2,5.95,0,0,6993396.83,70,1,0,0.0,0.0018315018315018315,Wednesday
3,2023-12-13,23,1,173,2.0,8.68,19,164.69,3,300,6992834.5,100,1,0,0.15789473684210525,0.10982658959537572,Wednesday
3,2023-12-13,23,2,474,2.0,4.43,49,216.79,2,160,6992834.5,80,1,0,0.04081632653061224,0.10337552742616034,Wednesday
3,2023-12-13,23,3,784,2.0,2.98,61,180.85,1,70,6992834.5,70,1,0,0.01639344262295082,0.0778061224489796,Wednesday
3,2023-12-14,0,1,101,5.0,8.64,8,26.14,0,0,6992758.79,100,2,0,0.0,0.07920792079207921,Thursday
3,2023-12-14,0,2,233,4.0,4.38,9,39.34,0,0,6992758.79,80,2,0,0.0,0.03862660944206009,Thursday
3,2023-12-14,0,3,375,5.0,2.95,9,10.23,0,0,6992758.79,70,2,0,0.0,0.024,Thursday
3,2023-12-14,1,1,87,5.0,8.59,8,16.57,0,0,6992697.89,100,2,0,0.0,0.09195402298850575,Thursday
3,2023-12-14,1,2,176,3.0,4.37,10,43.56,0,0,6992697.89,80,2,0,0.0,0.056818181818181816,Thursday
3,2023-12-14,1,3,257,5.0,2.96,1,0.76,0,0,6992697.89,70,2,0,0.0,0.0038910505836575876,Thursday
3,2023-12-14,2,1,61,1.0,8.73,6,52.38,0,0,6992614.71,100,2,0,0.0,0.09836065573770492,Thursday
3,2023-12-14,2,2,126,3.0,4.42,7,30.8,0,0,6992614.71,80,2,0,0.0,0.05555555555555555,Thursday
3,2023-12-14,2,3,212,4.0,2.97,0,0.0,0,0,6992614.71,70,2,0,0.0,0.0,Thursday
3,2023-12-14,3,1,55,2.0,8.73,6,52.36,0,0,6992530.19,100,2,0,0.0,0.10909090909090909,Thursday
3,2023-12-14,3,2,103,4.0,4.4,7,30.67,0,0,6992530.19,80,2,0,0.0,0.06796116504854369,Thursday
3,2023-12-14,3,3,179,5.0,2.95,3,1.48,0,0,6992530.19,70,2,0,0.0,0.01675977653631285,Thursday
3,2023-12-14,4,1,62,2.0,8.71,6,52.23,0,0,6992245.26,100,2,0,0.0,0.0967741935483871,Thursday
3,2023-12-14,4,2,158,2.0,4.43,17,74.77,0,0,6992245.26,80,2,0,0.0,0.10759493670886076,Thursday
3,2023-12-14,4,3,287,1.0,2.98,53,157.93,1,70,6992245.26,70,2,0,0.018867924528301886,0.18466898954703834,Thursday
3,2023-12-14,5,1,206,2.0,8.64,23,197.95,1,100,6991426.23,100,2,0,0.043478260869565216,0.11165048543689321,Thursday
3,2023-12-14,5,2,463,1.0,4.42,57,250.86,5,400,6991426.23,80,2,0,0.08771929824561403,0.12311015118790497,Thursday
3,2023-12-14,5,3,692,1.0,2.99,124,370.23,5,350,6991426.23,70,2,0,0.04032258064516129,0.1791907514450867,Thursday
3,2023-12-14,6,1,315,6.0,8.71,15,130.07,1,100,6991283.09,100,2,0,0.06666666666666667,0.047619047619047616,Thursday
3,2023-12-14,6,2,714,10.0,4.38,3,13.06,0,0,6991283.09,80,2,0,0.0,0.004201680672268907,Thursday
3,2023-12-14,6,3,1319,9.0,2.97,0,0.0,0,0,6991283.09,70,2,0,0.0,0.0,Thursday
3,2023-12-14,7,1,376,12.0,8.64,4,0.2,0,0,6991269.83,100,2,0,0.0,0.010638297872340425,Thursday
3,2023-12-14,7,2,941,11.0,4.36,3,13.07,0,0,6991269.83,80,2,0,0.0,0.003188097768331562,Thursday
3,2023-12-14,7,3,1601,12.0,2.95,0,0.0,0,0,6991269.83,70,2,0,0.0,0.0,Thursday
3,2023-12-14,8,1,332,8.0,8.72,10,86.99,1,100,6991161.06,100,2,0,0.1,0.030120481927710843,Thursday
3,2023-12-14,8,2,984,11.0,4.38,5,21.78,0,0,6991161.06,80,2,0,0.0,0.00508130081300813,Thursday
3,2023-12-14,8,3,1120,9.0,2.99,0,0.0,0,0,6991161.06,70,2,0,0.0,0.0,Thursday
3,2023-12-14,9,1,298,11.0,8.63,7,60.06,0,0,6991077.46,100,2,0,0.0,0.02348993288590604,Thursday
3,2023-12-14,9,2,899,9.0,4.4,4,17.57,0,0,6991077.46,80,2,0,0.0,0.004449388209121246,Thursday
3,2023-12-14,9,3,1077,8.0,3.01,2,5.97,0,0,6991077.46,70,2,0,0.0,0.0018570102135561746,Thursday
3,2023-12-14,10,1,300,10.0,8.61,9,77.28,0,0,6990957.36,100,2,0,0.0,0.03,Thursday
3,2023-12-14,10,2,717,7.0,4.44,9,39.88,0,0,6990957.36,80,2,0,0.0,0.012552301255230125,Thursday
3,2023-12-14,10,3,1231,10.0,2.96,1,2.93,0,0,6990957.36,70,2,0,0.0,0.0008123476848090983,Thursday
3,2023-12-14,11,1,334,7.0,8.71,14,121.66,0,0,6990829.62,100,2,0,0.0,0.041916167664670656,Thursday
3,2023-12-14,11,2,819,12.0,4.36,2,0.1,0,0,6990829.62,80,2,0,0.0,0.002442002442002442,Thursday
3,2023-12-14,11,3,1484,7.0,3.0,2,5.98,0,0,6990829.62,70,2,0,0.0,0.0013477088948787063,Thursday
3,2023-12-14,12,1,374,9.0,8.71,13,112.83,4,400,6990690.63,100,2,0,0.3076923076923077,0.034759358288770054,Thursday
3,2023-12-14,12,2,940,10.0,4.37,6,26.17,1,80,6990690.63,80,2,0,0.16666666666666666,0.006382978723404255,Thursday
3,2023-12-14,12,3,1304,8.0,3.0,0,0.0,0,0,6990690.63,70,2,0,0.0,0.0,Thursday
3,2023-12-14,13,1,406,10.0,8.62,9,77.23,0,0,6990613.3,100,2,0,0.0,0.022167487684729065,Thursday
3,2023-12-14,13,2,950,12.0,4.36,1,0.05,1,80,6990613.3,80,2,0,1.0,0.0010526315789473684,Thursday
3,2023-12-14,13,3,1579,12.0,2.95,1,0.05,0,0,6990613.3,70,2,0,0.0,0.0006333122229259025,Thursday
3,2023-12-14,14,1,414,12.0,8.58,5,0.25,1,100,6990591.19,100,2,0,0.2,0.012077294685990338,Thursday
3,2023-12-14,14,2,955,11.0,4.38,5,21.85,0,0,6990591.19,80,2,0,0.0,0.005235602094240838,Thursday
3,2023-12-14,14,3,1262,10.0,2.97,0,0.0,0,0,6990591.19,70,2,0,0.0,0.0,Thursday
3,2023-12-14,15,1,382,9.0,8.7,6,52.06,1,100,6990497.96,100,2,0,0.16666666666666666,0.015706806282722512,Thursday
3,2023-12-14,15,2,1077,8.0,4.43,8,35.23,0,0,6990497.96,80,2,0,0.0,0.007428040854224698,Thursday
3,2023-12-14,15,3,1984,8.0,2.98,2,5.95,0,0,6990497.96,70,2,0,0.0,0.0010080645161290322,Thursday
3,2023-12-14,16,1,402,9.0,8.64,10,86.25,1,100,6990398.64,100,2,0,0.1,0.024875621890547265,Thursday
3,2023-12-14,16,2,917,11.0,4.39,3,13.06,1,80,6990398.64,80,2,0,0.3333333333333333,0.003271537622682661,Thursday
3,2023-12-14,16,3,1811,12.0,2.97,0,0.0,0,0,6990398.64,70,2,0,0.0,0.0,Thursday
3,2023-12-14,17,1,444,12.0,8.58,4,0.2,0,0,6990346.95,100,2,0,0.0,0.009009009009009009,Thursday
3,2023-12-14,17,2,1128,8.0,4.42,11,48.54,1,80,6990346.95,80,2,0,0.09090909090909091,0.00975177304964539,Thursday
3,2023-12-14,17,3,1828,11.0,2.97,1,2.96,0,0,6990346.95,70,2,0,0.0,0.0005470459518599562,Thursday
3,2023-12-14,18,1,411,11.0,8.62,8,68.59,1,100,6990213.82,100,2,0,0.125,0.019464720194647202,Thursday
3,2023-12-14,18,2,1081,8.0,4.41,12,52.61,1,80,6990213.82,80,2,0,0.08333333333333333,0.011100832562442183,Thursday
3,2023-12-14,18,3,2127,8.0,2.99,4,11.93,0,0,6990213.82,70,2,0,0.0,0.0018805829807240243,Thursday
3,2023-12-14,19,1,435,11.0,8.6,4,34.37,1,100,6990170.74,100,2,0,0.25,0.009195402298850575,Thursday
3,2023-12-14,19,2,1137,11.0,4.36,2,8.71,1,80,6990170.74,80,2,0,0.5,0.001759014951627089,Thursday
3,2023-12-14,19,3,1852,11.0,2.95,0,0.0,0,0,6990170.74,70,2,0,0.0,0.0,Thursday
3,2023-12-14,20,1,396,10.0,8.65,9,77.68,3,300,6990085.71,100,2,0,0.3333333333333333,0.022727272727272728,Thursday
3,2023-12-14,20,2,1025,10.0,4.38,1,4.36,1,80,6990085.71,80,2,0,1.0,0.000975609756097561,Thursday
3,2023-12-14,20,3,1244,8.0,3.0,1,2.99,0,0,6990085.71,70,2,0,0.0,0.0008038585209003215,Thursday
3,2023-12-14,21,1,357,12.0,8.59,4,0.2,0,0,6990067.87,100,2,0,0.0,0.011204481792717087,Thursday
3,2023-12-14,21,2,889,10.0,4.41,4,17.63,0,0,6990067.87,80,2,0,0.0,0.0044994375703037125,Thursday
3,2023-12-14,21,3,1537,10.0,2.96,0,0.0,0,0,6990067.87,70,2,0,0.0,0.0,Thursday
3,2023-12-14,22,1,286,6.0,8.74,11,95.54,0,0,6989862.04,100,2,0,0.0,0.038461538461538464,Thursday
3,2023-12-14,22,2,672,5.0,4.43,25,110.29,1,80,6989862.04,80,2,0,0.04,0.03720238095238095,Thursday
3,2023-12-14,22,3,949,9.0,3.0,0,0.0,0,0,6989862.04,70,2,0,0.0,0.0,Thursday
3,2023-12-14,23,1,186,5.0,8.57,5,27.04,0,0,6989540.06,100,2,0,0.0,0.026881720430107527,Thursday
3,2023-12-14,23,2,394,5.0,4.35,10,28.95,2,160,6989540.06,80,2,0,0.2,0.025380710659898477,Thursday
