DATE,HOUR,PRODID,IMPRESSIONS,PREDICTED_IMPRESSIONS
2024-02-04,9,2,,1193.4089
2024-02-04,10,2,,1242.6763
2024-02-04,11,2,,1369.1925
2024-02-04,12,2,,1502.2152
2024-02-04,13,2,,1752.5997
2024-02-04,14,2,,1451.8187
2024-02-04,15,2,,1423.2522
2024-02-04,16,2,,1462.4812
2024-02-04,17,2,,1711.7357
2024-02-04,18,2,,1432.1996
2024-02-04,19,2,,1248.2324
2024-02-04,20,2,,1185.945
2024-02-04,21,2,,1026.0907
2024-02-04,22,2,,864.32697
2024-02-04,23,2,,785.2146
2024-02-05,0,2,,344.82806
2024-02-05,1,2,,243.87314
2024-02-05,2,2,,202.90218
2024-02-05,3,2,,202.14027
2024-02-05,4,2,,247.79704
2024-02-05,5,2,,497.65387
2024-02-05,6,2,,833.19104
2024-02-05,7,2,,992.9878
2024-02-05,8,2,,921.05554
2024-02-05,9,2,,805.88574
2024-02-05,10,2,,769.271
2024-02-05,11,2,,761.77783
2024-02-05,12,2,,974.06036
2024-02-05,13,2,,1062.9265
2024-02-05,14,2,,1036.4867
2024-02-05,15,2,,986.3639
2024-02-05,16,2,,1114.736
2024-02-05,17,2,,1081.7878
2024-02-05,18,2,,1048.7667
2024-02-05,19,2,,1076.1318
2024-02-05,20,2,,1100.6255
2024-02-05,21,2,,1009.07043
2024-02-05,22,2,,665.0655
2024-02-05,23,2,,459.00757
2024-02-06,0,2,,331.58658
2024-02-06,1,2,,236.83527
2024-02-06,2,2,,205.95396
2024-02-06,3,2,,193.03027
2024-02-06,4,2,,239.95915
2024-02-06,5,2,,491.47116
2024-02-06,6,2,,810.5892
2024-02-06,7,2,,796.4848
2024-02-06,8,2,,904.0257
2024-02-06,9,2,,829.4214
2024-02-06,10,2,,751.48553
2024-02-06,11,2,,796.4848
2024-02-06,12,2,,786.1533
2024-02-06,13,2,,915.37823
2024-02-06,14,2,,948.503
2024-02-06,15,2,,894.5682
2024-02-06,16,2,,1182.2107
2024-02-06,17,2,,1001.5028
2024-02-06,18,2,,1107.2122
2024-02-06,19,2,,1119.4358
2024-02-06,20,2,,1027.9811
2024-02-06,21,2,,1025.1453
2024-02-06,22,2,,802.1244
2024-02-06,23,2,,515.38776
2024-02-07,0,2,,324.99954
2024-02-07,1,2,,237.61565
2024-02-07,2,2,,218.22765
2024-02-07,3,2,,220.54076
2024-02-07,4,2,,236.83527
2024-02-07,5,2,,459.88
2024-02-07,6,2,,828.4791
2024-02-07,7,2,,929.57294
2024-02-07,8,2,,1016.6362
2024-02-07,9,2,,773.9574
2024-02-07,10,2,,773.02
2024-02-07,11,2,,794.60547
2024-02-07,12,2,,813.4122
2024-02-07,13,2,,1008.12463
2024-02-07,14,2,,931.4657
2024-02-07,15,2,,1138.2157
2024-02-07,16,2,,902.1339
2024-02-07,17,2,,1063.87
2024-02-07,18,2,,1088.3839
2024-02-07,19,2,,960.8089
2024-02-07,20,2,,1158.8345
2024-02-07,21,2,,917.27057
2024-02-07,22,2,,648.48395
2024-02-07,23,2,,447.69107
2024-02-08,0,2,,327.467
2024-02-08,1,2,,255.67458
2024-02-08,2,2,,215.1493
2024-02-08,3,2,,205.1904
2024-02-08,4,2,,239.95915
2024-02-08,5,2,,475.63187
2024-02-08,6,2,,761.77783
2024-02-08,7,2,,886.0589
2024-02-08,8,2,,902.1339
2024-02-08,9,2,,846.3928
2024-02-08,10,2,,745.8771
2024-02-08,11,2,,831.30615
2024-02-08,12,2,,869.04944
2024-02-08,13,2,,943.77026
2024-02-08,14,2,,970.27435
2024-02-08,15,2,,1044.0446
2024-02-08,16,2,,981.6321
2024-02-08,17,2,,1046.8779
2024-02-08,18,2,,1123.1942
2024-02-08,19,2,,1044.0446
2024-02-08,20,2,,1045.9333
2024-02-08,21,2,,872.82806
2024-02-08,22,2,,
2024-02-08,23,2,,
